subset,method,n_examples,rmse,mae,median_ae,spearman,available
full_holdout,neighbor_average,866,109973.16549666956,8142.885080882218,185.62800000000001,0.7954520297543949,True
full_holdout,zero_shot_llm,866,181956.42596419164,15854.111662147805,140.5,0.09002475994429851,True
full_holdout,few_shot_llm,862,182312.96526184253,15442.126365591646,90.84,0.48965495219210275,True
full_holdout,selected_pcf,866,181891.77993500093,15388.245356974596,92.5,0.48818119628027123,True
consumer_scale_true_pcf_le_10000,neighbor_average,774,3006.5732703037133,965.0441831705426,123.32199999999996,0.7278206838281535,True
consumer_scale_true_pcf_le_10000,zero_shot_llm,774,1742.0334602782048,799.6838821059432,93.09,0.06953153915462967,True
consumer_scale_true_pcf_le_10000,few_shot_llm,771,1708.5870377966721,695.1120395201037,58.58,0.5179579609717776,True
consumer_scale_true_pcf_le_10000,selected_pcf,774,1723.4398038671388,701.8084372997415,58.635000000000005,0.515047271314975,True
consumer_scale_intersection_all_methods,neighbor_average,771,3002.0198950408326,959.3720489935149,123.27199999999993,0.7283957100995714,True
consumer_scale_intersection_all_methods,zero_shot_llm,771,1712.8275777813872,790.701230544747,93.18,0.06394361713528145,True
consumer_scale_intersection_all_methods,few_shot_llm,771,1708.5870377966721,695.1120395201037,58.58,0.5179579609717776,True
consumer_scale_intersection_all_methods,selected_pcf,771,1708.5870377966721,695.1120395201037,58.58,0.5179579609717776,True
