lambda,avg_carbon_kg,AvgPCF@10,NDCG@10,Recall@10,MRR,n_users,pareto_optimal,carbon_reduction_pct,engagement_retention_pct
0.0,106.71365864430486,106.71365864430486,0.015174673427775415,0.032858971133546994,0.009863915813861668,91421,False,0.0,100.0
0.025,105.64562119995401,105.64562119995401,0.015175915879819736,0.032858971133546994,0.009865547893462705,91421,False,1.0008441823841914,100.00818766908056
0.05,104.62918910174898,104.62918910174898,0.015166770296131933,0.03286990953938373,0.009850646485828774,91421,False,1.9533296571751686,99.94791893426176
0.075,103.61053374904016,103.61053374904016,0.015149256485698948,0.03283709432187353,0.009837902374901532,91421,False,2.907898515229389,99.83250419063421
0.1,102.65271969865788,102.65271969865788,0.015150664425244353,0.03286990953938373,0.009830631807529893,91421,False,3.8054537696835937,99.84178241037388
0.15,100.78699559916211,100.78699559916211,0.01513194728323796,0.03281521751020006,0.009821099768157884,91421,False,5.553799879448742,99.71843779873872
0.2,99.10721500061254,99.10721500061254,0.01512637147916139,0.032793340698526595,0.00982206773026169,91421,False,7.127900720793308,99.68169365328407
0.25,97.59082620427472,97.59082620427472,0.015119119868728484,0.032727710263506196,0.009832897620167503,91421,False,8.54888920118288,99.6339060651859
0.3,96.18414238983384,96.18414238983384,0.015124357465221666,0.03265114142264906,0.00986440196523219,91421,False,9.867074550941716,99.66842144713539
0.4,93.4180787331248,93.4180787331248,0.015276849212277448,0.03265114142264906,0.010074145897151552,91421,False,12.459117305214445,100.67333102744084
0.5,90.43027733683726,90.43027733683726,0.015604903220789538,0.032563634175955196,0.010548755513260386,91421,False,15.25894764956277,102.83518320879735
0.6,87.09378554611088,87.09378554611088,0.015937089095043485,0.03257457258179193,0.010989408324265744,91421,False,18.38553128760248,105.02426408645182
0.7,83.20779799237593,83.20779799237593,0.01590555367479959,0.032585510987628664,0.010966763219801362,91421,False,22.02704035317357,104.81644794863517
0.8,52.752990436890876,52.752990436890876,0.016429331630290422,0.03511228273591407,0.010972640442619986,91421,True,50.56584966997922,108.26810677993575
0.9,38.64007921277386,38.64007921277386,0.015328795430407683,0.032957416786077595,0.010173676708991353,91421,True,63.79087765928075,101.01565284660535
0.91,36.27627206179106,36.27627206179106,0.01512742559775811,0.0326620798284858,0.010009370567666803,91421,True,66.0059710044183,99.68864021857088
0.92,32.522997624079814,32.522997624079814,0.014951818319373996,0.0322682972183634,0.009898211188669617,91421,True,69.52311631214462,98.53140095922257
0.93,28.043886077181394,28.043886077181394,0.014698791224601496,0.031458855186445124,0.009799795920599675,91421,True,73.72043425981997,96.86397071120574
0.94,23.09567129874973,23.09567129874973,0.014613912970411853,0.031283840693057396,0.009741770282018145,91421,True,78.35734282550314,96.3046291570456
0.95,20.154167394734248,20.154167394734248,0.01455180228310135,0.03124008706971046,0.00968868862924933,91421,True,81.11378838400474,95.89532422138342
0.96,18.45196674970741,18.45196674970741,0.01430843932333104,0.03068222837203706,0.009549263020566112,91421,True,82.70889876317425,94.29157992382993
0.97,12.012268827348205,12.012268827348205,0.013406804329047903,0.02793668850701699,0.009150874994335468,91421,False,88.74345704200137,88.34987054488013
0.98,9.615709734404566,9.615709734404566,0.013533194836502458,0.02873519213309852,0.009111904753223488,91421,True,90.98924181162658,89.18277484464062
0.99,6.364324525382572,6.364324525382572,0.012481679561676649,0.02510364139530305,0.008749604784979588,91421,True,94.03607316417107,82.2533652607669
1.0,0.15354521497248994,0.15354521497248994,0.005671365979675535,0.013279224685794292,0.0034149225552185486,91421,True,99.85611474958019,37.373891482203376
