lambda,avg_carbon_kg,AvgPCF@10,NDCG@10,Recall@10,MRR,n_users,pareto_optimal,carbon_reduction_pct,engagement_retention_pct
0.0,297.28070440315753,297.28070440315753,0.0036321750333713327,0.0066122500632751205,0.002738136668233479,63216,False,0.0,100.0
0.025,284.2128150718171,284.2128150718171,0.0036311470459788903,0.006596431283219438,0.002740861013687513,63216,False,4.395808115961138,99.97169774630909
0.05,271.3402651909327,271.3402651909327,0.003630755652456285,0.006596431283219438,0.0027404404350114295,63216,False,8.72590747667419,99.96092201223766
0.075,258.99692994811437,258.99692994811437,0.0036177746925886876,0.006548974943052392,0.002736542235640565,63216,False,12.877988341659934,99.60353395278754
0.1,247.69899717065297,247.69899717065297,0.0036140788800115447,0.006548974943052392,0.0027315141234085807,63216,False,16.678414205203268,99.50178190220664
0.15,225.90873016040237,225.90873016040237,0.0036025719746477793,0.006517337382941028,0.0027255946354750454,63216,False,24.008276751781366,99.18497708806515
0.2,206.6316887150405,206.6316887150405,0.0036059297681713897,0.00653315616299671,0.002725720181348503,63216,True,30.49273442422394,99.27742289513007
0.25,189.9196030131612,189.9196030131612,0.003593535769785227,0.006517337382941028,0.0027138309871320506,63216,False,36.11438610034995,98.93619489063441
0.3,175.813603300272,175.813603300272,0.0035888982943350174,0.006469881042773982,0.0027210247656811815,63216,False,40.85939628902311,98.80851724824102
0.4,149.52770838774993,149.52770838774993,0.0035741096813681258,0.006422424702606935,0.002715701620646571,63216,False,49.701508986951346,98.40136140274849
0.5,129.74664273221975,129.74664273221975,0.0035673641329591428,0.006438243482662617,0.002703347906698324,63216,False,56.35551153825856,98.21564490101036
0.6,110.55802680856108,110.55802680856108,0.0035507961801424155,0.006469881042773982,0.0026731980651874348,63216,True,62.810224420543726,97.75950078172905
0.7,90.09011900088582,90.09011900088582,0.0034516768361333564,0.006295874462161478,0.0025943803658306313,63216,True,69.69526859075589,95.03057546567517
0.8,69.6136904305872,69.6136904305872,0.003309610838661667,0.006106049101493293,0.002466072483156766,63216,True,76.58317899564025,91.11925521908933
0.9,49.17940902081752,49.17940902081752,0.003115039462788981,0.00571057960010124,0.00233294363894212,63216,False,83.45691183706198,85.76237197186079
0.91,46.90699629334345,46.90699629334345,0.0031023303266666186,0.005726398380156922,0.0023146013868299365,63216,False,84.22131150842186,85.41246768570731
0.92,44.30941778679451,44.30941778679451,0.0031076740417154947,0.0057422171602126044,0.002317777697428419,63216,True,85.0950912284222,85.55958931392676
0.93,41.21164928040367,41.21164928040367,0.003053519167698185,0.005647304479878512,0.0022740249605283777,63216,True,86.13712606637448,84.06861287364646
0.94,37.62881041081371,37.62881041081371,0.002991079834655585,0.0054891166793216905,0.0022406297581886044,63216,True,87.34233004245598,82.34955108645488
0.95,33.393604280561874,33.393604280561874,0.002915082080807073,0.005473297899266008,0.002148579523769349,63216,True,88.76697889033689,80.25720275108372
0.96,28.712474782966332,28.712474782966332,0.002862860464777093,0.00541002277904328,0.002101794854025302,63216,True,90.34162851550973,78.81945221455442
0.97,22.990509836275624,22.990509836275624,0.002771889583762933,0.005299291318653506,0.00201526863803819,63216,True,92.2663968781852,76.31486804175583
0.98,15.645474619241963,15.645474619241963,0.0026130716313372366,0.0049829157175398636,0.0019029929634048846,63216,True,94.73713753112467,71.9423377818833
0.99,7.455165107567704,7.455165107567704,0.002248615165674913,0.004381802075423943,0.0016103706415494569,63216,True,97.49221358899318,61.90822702692773
1.0,0.34500966211085793,0.34500966211085793,0.001350407382650997,0.003116299670969375,0.0008332667940204009,63216,True,99.88394481814636,37.17902827490029
