lambda,avg_carbon_kg,AvgPCF@10,NDCG@10,Recall@10,MRR,n_users,pareto_optimal,carbon_reduction_pct,engagement_retention_pct
0.0,309.94039819539364,309.94039819539364,0.010116314405295434,0.018080865603644646,0.007706922197715667,63216,False,0.0,100.0
0.025,295.8141756237344,295.8141756237344,0.010105964734834574,0.018065046823588966,0.007696960132656792,63216,False,4.557722276253172,99.89769327003674
0.05,280.9609057613578,280.9609057613578,0.010095124805614352,0.018065046823588966,0.007683150086576434,63216,False,9.350021037195182,99.79054032098894
0.075,267.30380778964184,267.30380778964184,0.010091002113494887,0.018065046823588966,0.00767844839361544,63216,False,13.756383696349484,99.74978741479904
0.1,254.53559511626798,254.53559511626798,0.01009764851761802,0.018080865603644646,0.007682823667305444,63216,False,17.875954022681864,99.81548727204799
0.15,231.69363639458356,231.69363639458356,0.010084659544685345,0.018017590483421917,0.007684279999437555,63216,False,25.245744748473058,99.68709097659598
0.2,211.4698781707163,211.4698781707163,0.010068553017638992,0.018001771703366237,0.007668122245523536,63216,False,31.7707922549029,99.52787758720271
0.25,192.90217144425463,192.90217144425463,0.010071245998414744,0.017985952923310556,0.007676345500235021,63216,True,37.76152687180694,99.55449776395741
0.3,176.5939011033599,176.5939011033599,0.010018212729585085,0.017859402682865098,0.007643609413730902,63216,True,43.02327088318735,99.03026268480745
0.4,149.04463342081118,149.04463342081118,0.010015430711102958,0.017811946342698053,0.007655712035932233,63216,False,51.9118403768553,99.00276236828238
0.5,127.35185801537583,127.35185801537583,0.009967096553792876,0.017764490002531004,0.007606090029448041,63216,True,58.910855520328056,98.5249781143175
0.6,109.99227792362693,109.99227792362693,0.009899739368169895,0.01771703366236396,0.007533348750366594,63216,False,64.51179692481222,97.8591507890248
0.7,95.70725934953175,95.70725934953175,0.009855440687656961,0.017622120982029865,0.007506287337342766,63216,True,69.12075356849878,97.42125731578768
0.8,79.29654015802961,79.29654015802961,0.009644892392484408,0.01735320172108327,0.007313863177094005,63216,True,74.41555195136608,95.33998258729228
0.9,52.01256004729817,52.01256004729817,0.009122317116990658,0.016498987598076435,0.0068868502749956815,63216,False,83.21852835250336,90.17431399933099
0.91,49.34602865540371,49.34602865540371,0.009078716938144424,0.0165306251581878,0.006822790493063841,63216,True,84.07886518094527,89.74332523109528
0.92,46.39533816249051,46.39533816249051,0.009006332291301954,0.016419893697798026,0.006764694140121247,63216,True,85.0308838626316,89.02780133630036
0.93,42.947545023253625,42.947545023253625,0.008852700631908444,0.016103518096684383,0.006659386261464849,63216,True,86.14328907321772,87.5091488583476
0.94,38.168349814129336,38.168349814129336,0.008738800260397035,0.01600860541635029,0.006546338479709778,63216,True,87.68526141272261,86.38324107268421
0.95,32.93062095513795,32.93062095513795,0.008557157834127832,0.015676411035180967,0.00641320335820146,63216,True,89.37517627683445,84.58770152150022
0.96,28.105734753701594,28.105734753701594,0.00830998037751045,0.01524930397367755,0.006221927942694837,63216,True,90.9318904804455,82.14434669172154
0.97,22.68384366125664,22.68384366125664,0.008047634696813662,0.014743103011895723,0.006032981403140856,63216,True,92.68122394068934,79.55105361890581
0.98,15.985940186661608,15.985940186661608,0.007690898684346163,0.014015439129334346,0.005790018751531659,63216,True,94.84225345268361,76.02470995089203
0.99,7.657149924544417,7.657149924544417,0.006753200598561727,0.012196279422930903,0.005102341229666589,63216,True,97.52947664482345,66.75554285883732
1.0,0.3683883051759049,0.3683883051759049,0.0030811831926549752,0.006643887623386484,0.002028137090067614,63216,True,99.88114221078605,30.457566552519513
